drugid,cas
25148,"319428-14-3; 359878-17-4; 706779-91-1; 706782-28-7"
25182,"175865-60-8"
25880,"24280-93-1; 37415-62-6"
25898,"104746-04-5; 236395-14-5"
26311,"10405-02-4"
26312,"10118-90-8"
26495,"443913-73-3"
26552,"1327-53-3"
26574,"134678-17-4; 188062-50-2; 248272-86-8; 30516-87-1"
26832,"106266-06-2"
27251,"1953-02-2"
27454,"657-24-9"
27470,"78281-72-8"
27471,"3424-98-4"
27572,"191732-72-6"
27696,"19171-19-8"
28035,"183133-96-2"
28431,"313345-40-3; 313348-16-2; 313348-27-5; 313350-85-5; 313350-86-6"
28453,"214766-78-6; 934246-14-7"
28539,"67-73-2"
28773,"253128-15-3; 253128-41-5; 441045-17-6"
28815,"21829-25-4"
28990,"79416-27-6"
28992,"140898-91-5; 140898-97-1"
29016,"33069-62-4"
29051,"58-22-0"
29182,"10238-21-8; 657-24-9"
29446,"123683-33-0; 61477-96-1; 89786-04-9"
29570,"196597-26-9"
29655,"128607-22-7"
29717,"173334-57-1; 173334-58-2"
29831,"284461-73-0; 475207-59-1"
29992,"862111-32-8"
30251,"1154757-24-0; 1380078-95-4; 640749-39-9"
30379,"380843-75-4"
30456,"27203-92-5; 36282-47-0"
30682,"269055-15-4"
30712,"51333-22-3; 73573-87-2"
30819,"380382-38-7; 856866-72-3; 856867-39-5; 856867-55-5"
30864,"16590-41-3"
31012,"320345-99-1"
31115,"52485-79-7"
31134,"437-38-7"
31482,"103628-46-2; 22204-53-1"
31495,"83905-01-5"
31624,"31036-80-3"
31977,"249296-44-4; 375815-87-5"
32010,"141388-76-3; 405165-61-9"
32355,"312753-06-3; 753498-25-8"
32677,"366789-02-8"
32693,"75330-75-5"
32696,"85721-33-1; 86393-32-0"
32757,"75567-37-2"
32981,"206361-99-1; 206362-00-7"
33005,"130929-57-6; 28860-95-9; 59-92-7"
33090,"330784-47-9"
33475,"134523-00-5; 88150-42-9"
33497,"52485-79-7; 53152-21-9"
33499,"157283-68-6"
33576,"144598-75-4"
33591,"231277-92-2; 388082-77-7; 388082-78-8"
34061,"1262984-82-6"
34063,"73590-58-6"
34139,"596-51-0; 740028-90-4"
34501,"163222-33-1; 444313-53-5; 79902-63-9"
35108,"85721-33-1"
35219,"355-42-0"
35399,"113507-06-5"
36213,"108605-62-5"
36230,"73232-52-7"
36332,"274693-27-5"
36495,"204699-01-4; 241479-67-4; 368421-38-9; 497235-79-7; 742049-41-8; 946075-13-4"
36624,"26833-87-4"
36669,"1018448-65-1; 139504-50-0"
37011,"245765-41-7"
37012,"209860-87-7"
37131,"343306-71-8; 343306-79-6"
37370,"320-67-2"
37592,"357336-20-0"
37613,"376348-65-1"
37952,"104206-65-7"
37956,"57-63-6; 797-63-7"
37957,"57-63-6; 797-63-7"
38769,"78110-38-0; 827611-49-4"
39069,"923604-59-5"
39159,"414864-00-9"
39172,"474645-27-7; 914088-09-8"
39209,"319460-85-0"
39730,"223673-61-8"
39769,"132539-06-1; 54910-89-3"
39889,"126544-47-6"
39893,"404-86-4"
40061,"396091-73-9"
40115,"444811-40-9"
40474,"37517-28-5"
40532,"1392275-56-7; 379270-37-8; 379270-38-9"
40649,"57-83-0"
40669,"333963-40-9"
40909,"381231-18-1; 945212-59-9"
41031,"406936-20-7"
41417,"596-51-0; 740028-90-4"
41500,"15307-86-5"
41702,"943319-70-8"
41705,"380917-97-5"
41905,"89-57-6"
42107,"189345-04-8; 229016-73-3; 595568-96-0; 866021-48-9"
42147,"873857-62-6"
42259,"397864-44-7; 90566-53-3"
42857,"476181-74-5"
42859,"91374-21-9"
43021,"175591-09-0; 175591-23-8"
43078,"136959-96-1; 84371-63-1; 84371-65-3"
43538,"59865-13-3"
43738,"444731-52-6; 635702-64-6"
43841,"59-67-6"
44017,"31677-93-7; 34911-55-2"
44123,"124508-66-3; 57773-63-4"
44157,"841290-81-1; 901119-35-5; 914295-16-2"
44219,"330942-05-7; 353228-03-2"
44237,"153559-49-0"
44258,"59277-89-3"
44259,"28981-97-7"
44279,"26787-78-0; 61336-70-7"
44280,"29122-68-7"
44281,"378-44-9"
44282,"4419-39-0; 5534-09-8"
44284,"26787-78-0; 58001-44-8"
44285,"1812-30-2"
44286,"47931-85-1"
44287,"1622-61-3"
44288,"33286-22-5; 42399-41-7"
44289,"75847-73-3"
44290,"72509-76-3"
44292,"86386-73-4"
44294,"66108-95-0"
44295,"60166-93-0"
44297,"22254-24-6; 60205-81-4"
44299,"65277-42-1"
44300,"75330-75-5"
44302,"51384-51-1; 56392-17-7; 98418-47-4"
44304,"76963-41-2"
44305,"73590-58-6"
44308,"2078-54-8"
44309,"66357-35-5; 66357-59-3"
44310,"18559-94-9"
44312,"89365-50-4; 94749-08-3"
44314,"10540-29-1"
44315,"26839-75-8; 26921-17-5"
44316,"30516-87-1"
44317,"72558-82-8"
44318,"4759-48-2"
44362,"846-49-1"
44363,"723-46-6; 738-70-5"
44364,"36505-84-7"
44366,"62571-86-2"
44367,"53994-73-3"
44368,"55268-75-2; 56238-63-2; 64544-07-6"
44369,"63527-52-6; 64485-93-4"
44370,"18323-44-9"
44371,"5786-21-0"
44372,"104344-23-2; 66722-44-9"
44374,"1951-25-3"
44375,"81-81-2"
44376,"57-41-0"
44378,"50-28-2"
44381,"28911-01-5"
44382,"55142-85-3"
44383,"41575-94-4"
44384,"73384-59-5; 74578-69-1"
44385,"80214-83-1"
44388,"28860-95-9; 59-92-7"
44389,"51-48-9; 55-03-8"
44398,"51481-61-9"
44399,"55-63-0"
44400,"68373-14-8; 69-53-4"
44401,"1404-90-6; 1404-93-9"
44403,"137-58-6; 6108-05-0"
44404,"520-85-4"
44405,"1665-48-1"
44406,"64221-86-9; 82009-34-5"
44407,"100643-71-8"
44410,"54063-53-5"
44411,"6190-39-2"
44412,"34580-13-7; 34580-14-8"
44413,"357437-90-2; 86541-75-5; 88150-42-9"
44414,"4419-39-0; 5534-09-8"
44415,"18559-94-9; 22254-24-6"
44417,"361442-04-8; 945667-22-1"
44437,"52-53-9"
44438,"85721-33-1; 86393-32-0"
44499,"486460-32-6; 654671-77-9; 654671-78-0; 667899-14-1; 677782-27-3"
44598,"54-31-9"
